cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
pnpA__cysE	Cluster_1213	1	1213	1	FM211187.1675__FM211187.1683	pnpA	cysE	unannotated											FM211187.1675__FM211187.1683
cysE	Cluster_1214	1	1214	1	FM211187.1683	pnpA__cysE	cysE__acetyltransferase_GNAT_family_protein.6	CDS		cysE		serine acetyltransferase		serine_acetyltransferase	serine acetyltransferase				FM211187.1683
cysE__acetyltransferase_GNAT_family_protein.6	Cluster_1215	1	1215	1	FM211187.1683__FM211187.1687	cysE	acetyltransferase_GNAT_family_protein.6	unannotated											FM211187.1683__FM211187.1687
acetyltransferase_GNAT_family_protein.6	Cluster_1216	1	1216	1	FM211187.1687	cysE__acetyltransferase_GNAT_family_protein.6	acetyltransferase_GNAT_family_protein.6__cysS	CDS				putative acetyltransferase, GNAT family protein		acetyltransferase_GNAT_family_protein	putative acetyltransferase, GNAT family protein				FM211187.1687
acetyltransferase_GNAT_family_protein.6__cysS	Cluster_1217	1	1217	1	FM211187.1687__FM211187.1690	acetyltransferase_GNAT_family_protein.6	cysS	unannotated											FM211187.1687__FM211187.1690
cysS	Cluster_1218	1	1218	1	FM211187.1690	acetyltransferase_GNAT_family_protein.6__cysS	ribomuclease	CDS		cysS		cysteinyl-tRNA synthetase		cysteinyl-tRNA_synthetase	cysteinyl-tRNA synthetase				FM211187.1690
ribomuclease	Cluster_1219	1	1219	1	FM211187.1693	cysS	ribomuclease__leucine-rich_protein	CDS				putative ribomuclease		ribomuclease	putative ribomuclease				FM211187.1693
ribomuclease__leucine-rich_protein	Cluster_1220	1	1220	1	FM211187.1693__FM211187.1695	ribomuclease	leucine-rich_protein	unannotated											FM211187.1693__FM211187.1695
leucine-rich_protein	Cluster_1221	1	1221	1	FM211187.1695	ribomuclease__leucine-rich_protein	leucine-rich_protein__IS1167A_transposase.1	CDS				leucine-rich protein		leucine-rich_protein	leucine-rich protein				FM211187.1695
leucine-rich_protein__IS1167A_transposase.1	Cluster_1222	1	1222	1	FM211187.1695__FM211187.1696	leucine-rich_protein	IS1167A_transposase.1	unannotated											FM211187.1695__FM211187.1696
IS1167A_transposase.1	Cluster_1223	1	1223	1	FM211187.1696	Cluster_1225__IS1167A_transposase.1	leucine-rich_protein__IS1167A_transposase.1	CDS				putative IS1167A transposase		IS1167A_transposase	putative IS1167A transposase				FM211187.1696
Cluster_1225__IS1167A_transposase.1	Cluster_1224	1	1224	1	FM211187.1696__FM211187.1698	Cluster_1225	IS1167A_transposase.1	unannotated											FM211187.1696__FM211187.1698
Cluster_1225	Cluster_1225	1	1225	1	FM211187.1698	Cluster_1226	Cluster_1225__IS1167A_transposase.1	repeat_region											FM211187.1698
Cluster_1226	Cluster_1226	1	1226	1	FM211187.1699	Cluster_1226__uncharacterized_protein.22	Cluster_1225	repeat_region											FM211187.1699
Cluster_1226__uncharacterized_protein.22	Cluster_1227	1	1227	1	FM211187.1699__FM211187.1700	Cluster_1226	uncharacterized_protein.22	unannotated											FM211187.1699__FM211187.1700
uncharacterized_protein.22	Cluster_1228	1	1228	1	FM211187.1700	Cluster_1226__uncharacterized_protein.22	uncharacterized_protein.22__transposase_fragment.1	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1700
uncharacterized_protein.22__transposase_fragment.1	Cluster_1229	1	1229	1	FM211187.1700__FM211187.1701	uncharacterized_protein.22	transposase_fragment.1	unannotated											FM211187.1700__FM211187.1701
transposase_fragment.1	Cluster_1230	1	1230	1	FM211187.1701	uncharacterized_protein.22__transposase_fragment.1	Cluster_1231	CDS				putative transposase (fragment)		transposase_fragment	putative transposase (fragment)				FM211187.1701
Cluster_1231	Cluster_1231	1	1231	1	FM211187.1703	Cluster_1231__Group_II_intron.2	transposase_fragment.1	repeat_region											FM211187.1703
Cluster_1231__Group_II_intron.2	Cluster_1232	1	1232	1	FM211187.1703__FM211187.1704	Cluster_1231	Group_II_intron.2	unannotated											FM211187.1703__FM211187.1704
Group_II_intron.2	Cluster_1233	1	1233	1	FM211187.1704	Cluster_1231__Group_II_intron.2	Group_II_intron.2__ABC_transporter_permease_protein.1	transcript				Group II intron		Group_II_intron	Group II intron				FM211187.1704
Group_II_intron.2__ABC_transporter_permease_protein.1	Cluster_1234	1	1234	1	FM211187.1704__FM211187.1705	Group_II_intron.2	ABC_transporter_permease_protein.1	unannotated											FM211187.1704__FM211187.1705
ABC_transporter_permease_protein.1	Cluster_1235	1	1235	1	FM211187.1705	Group_II_intron.2__ABC_transporter_permease_protein.1	ABC_transporter_permease_protein.1__ABC_transporter_ATP-binding_protein.5	CDS				ABC transporter, permease protein		ABC_transporter_permease_protein	ABC transporter, permease protein				FM211187.1705
ABC_transporter_permease_protein.1__ABC_transporter_ATP-binding_protein.5	Cluster_1236	1	1236	1	FM211187.1705__FM211187.1709	ABC_transporter_permease_protein.1	ABC_transporter_ATP-binding_protein.5	unannotated											FM211187.1705__FM211187.1709
ABC_transporter_ATP-binding_protein.5	Cluster_1237	1	1237	1	FM211187.1709	ABC_transporter_permease_protein.1__ABC_transporter_ATP-binding_protein.5	ABC_transporter_ATP-binding_protein.5__ABC_transporter_permease_protein.2	CDS				ABC transporter, ATP-binding protein		ABC_transporter_ATP-binding_protein	ABC transporter, ATP-binding protein				FM211187.1709
ABC_transporter_ATP-binding_protein.5__ABC_transporter_permease_protein.2	Cluster_1238	1	1238	1	FM211187.1709__FM211187.1713	ABC_transporter_ATP-binding_protein.5	ABC_transporter_permease_protein.2	unannotated											FM211187.1709__FM211187.1713
ABC_transporter_permease_protein.2	Cluster_1239	1	1239	1	FM211187.1713	ABC_transporter_ATP-binding_protein.5__ABC_transporter_permease_protein.2	ABC_transporter_permease_protein.2__two-component_system_response_regulator.1	CDS				ABC transporter, permease protein		ABC_transporter_permease_protein	ABC transporter, permease protein				FM211187.1713
ABC_transporter_permease_protein.2__two-component_system_response_regulator.1	Cluster_1240	1	1240	1	FM211187.1713__FM211187.1717	ABC_transporter_permease_protein.2	two-component_system_response_regulator.1	unannotated											FM211187.1713__FM211187.1717
two-component_system_response_regulator.1	Cluster_1241	1	1241	1	FM211187.1717	ABC_transporter_permease_protein.2__two-component_system_response_regulator.1	two-component_system_sensor_histidine_kinase.1	CDS				two-component system, response regulator		two-component_system_response_regulator	two-component system, response regulator				FM211187.1717
two-component_system_sensor_histidine_kinase.1	Cluster_1242	1	1242	1	FM211187.1720	two-component_system_response_regulator.1	two-component_system_sensor_histidine_kinase.1__fba	CDS				two-component system, sensor histidine kinase		two-component_system_sensor_histidine_kinase	two-component system, sensor histidine kinase				FM211187.1720
two-component_system_sensor_histidine_kinase.1__fba	Cluster_1243	1	1243	1	FM211187.1720__FM211187.1725	two-component_system_sensor_histidine_kinase.1	fba	unannotated											FM211187.1720__FM211187.1725
fba	Cluster_1244	1	1244	1	FM211187.1725	two-component_system_sensor_histidine_kinase.1__fba	fba__Cluster_1246	CDS		fba		fructose-bisphosphate aldolase		fructose-bisphosphate_aldolase	fructose-bisphosphate aldolase				FM211187.1725
fba__Cluster_1246	Cluster_1245	1	1245	1	FM211187.1725__FM211187.1729	fba	Cluster_1246	unannotated											FM211187.1725__FM211187.1729
Cluster_1246	Cluster_1246	1	1246	1	FM211187.1729	fba__Cluster_1246	Cluster_1246__flavocytochrome	repeat_region											FM211187.1729
Cluster_1246__flavocytochrome	Cluster_1247	1	1247	1	FM211187.1729__FM211187.1730	Cluster_1246	flavocytochrome	unannotated											FM211187.1729__FM211187.1730
flavocytochrome	Cluster_1248	1	1248	1	FM211187.1730	Cluster_1250__flavocytochrome	Cluster_1246__flavocytochrome	CDS				putative flavocytochrome		flavocytochrome	putative flavocytochrome				FM211187.1730
Cluster_1250__flavocytochrome	Cluster_1249	1	1249	1	FM211187.1730__FM211187.1736	Cluster_1250	flavocytochrome	unannotated											FM211187.1730__FM211187.1736
Cluster_1250	Cluster_1250	1	1250	1	FM211187.1736	Cluster_1251	Cluster_1250__flavocytochrome	repeat_region											FM211187.1736
Cluster_1251	Cluster_1251	1	1251	1	FM211187.1737	Cluster_1252	Cluster_1250	repeat_region											FM211187.1737
Cluster_1252	Cluster_1252	1	1252	1	FM211187.1738	amino_acid_ABC_transporter_permease_protein.1	Cluster_1251	repeat_region											FM211187.1738
amino_acid_ABC_transporter_permease_protein.1	Cluster_1253	1	1253	1	FM211187.1739	amino_acid_ABC_transporter_permease_protein.2__amino_acid_ABC_transporter_permease_protein.1	Cluster_1252	CDS				putative amino acid ABC transporter, permease protein		amino_acid_ABC_transporter_permease_protein	putative amino acid ABC transporter, permease protein				FM211187.1739
amino_acid_ABC_transporter_permease_protein.2__amino_acid_ABC_transporter_permease_protein.1	Cluster_1254	1	1254	1	FM211187.1739__FM211187.1742	amino_acid_ABC_transporter_permease_protein.2	amino_acid_ABC_transporter_permease_protein.1	unannotated											FM211187.1739__FM211187.1742
amino_acid_ABC_transporter_permease_protein.2	Cluster_1255	1	1255	1	FM211187.1742	glutamine-binding_protein_precursor__amino_acid_ABC_transporter_permease_protein.2	amino_acid_ABC_transporter_permease_protein.2__amino_acid_ABC_transporter_permease_protein.1	CDS				putative amino acid ABC transporter, permease protein		amino_acid_ABC_transporter_permease_protein	putative amino acid ABC transporter, permease protein				FM211187.1742
glutamine-binding_protein_precursor__amino_acid_ABC_transporter_permease_protein.2	Cluster_1256	1	1256	1	FM211187.1742__FM211187.1746	glutamine-binding_protein_precursor	amino_acid_ABC_transporter_permease_protein.2	unannotated											FM211187.1742__FM211187.1746
glutamine-binding_protein_precursor	Cluster_1257	1	1257	1	FM211187.1746	glutamine_transporter_ATP-binding_protein__glutamine-binding_protein_precursor	glutamine-binding_protein_precursor__amino_acid_ABC_transporter_permease_protein.2	CDS				putative glutamine-binding protein precursor		glutamine-binding_protein_precursor	putative glutamine-binding protein precursor				FM211187.1746
glutamine_transporter_ATP-binding_protein__glutamine-binding_protein_precursor	Cluster_1258	1	1258	1	FM211187.1746__FM211187.1750	glutamine_transporter_ATP-binding_protein	glutamine-binding_protein_precursor	unannotated											FM211187.1746__FM211187.1750
glutamine_transporter_ATP-binding_protein	Cluster_1259	1	1259	1	FM211187.1750	Cluster_1261__glutamine_transporter_ATP-binding_protein	glutamine_transporter_ATP-binding_protein__glutamine-binding_protein_precursor	CDS				putative glutamine transporter, ATP-binding protein		glutamine_transporter_ATP-binding_protein	putative glutamine transporter, ATP-binding protein				FM211187.1750
Cluster_1261__glutamine_transporter_ATP-binding_protein	Cluster_1260	1	1260	1	FM211187.1750__FM211187.1754	Cluster_1261	glutamine_transporter_ATP-binding_protein	unannotated											FM211187.1750__FM211187.1754
Cluster_1261	Cluster_1261	1	1261	1	FM211187.1754	Cluster_1261__phosphoesterase.1	Cluster_1261__glutamine_transporter_ATP-binding_protein	repeat_region											FM211187.1754
Cluster_1261__phosphoesterase.1	Cluster_1262	1	1262	1	FM211187.1754__FM211187.1755	Cluster_1261	phosphoesterase.1	unannotated											FM211187.1754__FM211187.1755
phosphoesterase.1	Cluster_1263	1	1263	1	FM211187.1755	Cluster_1261__phosphoesterase.1	phosphoesterase.1__metallo-beta-lactamase_superfamily_protein.2	CDS				putative phosphoesterase		phosphoesterase	putative phosphoesterase				FM211187.1755
phosphoesterase.1__metallo-beta-lactamase_superfamily_protein.2	Cluster_1264	1	1264	1	FM211187.1755__FM211187.1758	phosphoesterase.1	metallo-beta-lactamase_superfamily_protein.2	unannotated											FM211187.1755__FM211187.1758
metallo-beta-lactamase_superfamily_protein.2	Cluster_1265	1	1265	1	FM211187.1758	phosphoesterase.1__metallo-beta-lactamase_superfamily_protein.2	metallo-beta-lactamase_superfamily_protein.2__esterase.1	CDS				metallo-beta-lactamase superfamily protein		metallo-beta-lactamase_superfamily_protein	metallo-beta-lactamase superfamily protein				FM211187.1758
metallo-beta-lactamase_superfamily_protein.2__esterase.1	Cluster_1266	1	1266	1	FM211187.1758__FM211187.1761	metallo-beta-lactamase_superfamily_protein.2	esterase.1	unannotated											FM211187.1758__FM211187.1761
esterase.1	Cluster_1267	1	1267	1	FM211187.1761	metallo-beta-lactamase_superfamily_protein.2__esterase.1	esterase.1__murM	CDS				putative esterase		esterase	putative esterase				FM211187.1761
esterase.1__murM	Cluster_1268	1	1268	1	FM211187.1761__FM211187.1763	esterase.1	murM	unannotated											FM211187.1761__FM211187.1763
murM	Cluster_1269	1	1269	1	FM211187.1763	esterase.1__murM	murM__murN	CDS		murM		putative peptidoglycan pentaglycine interpeptide biosynthesis protein		peptidoglycan_pentaglycine_interpeptide_biosynthes	putative peptidoglycan pentaglycine interpeptide biosynthesis protein				FM211187.1763
murM__murN	Cluster_1270	1	1270	1	FM211187.1763__FM211187.1766	murM	murN	unannotated											FM211187.1763__FM211187.1766
murN	Cluster_1271	1	1271	1	FM211187.1766	murM__murN	murN__protease.2	CDS		murN		putative peptidoglycan branched peptide synthesis protein		peptidoglycan_branched_peptide_synthesis_protein	putative peptidoglycan branched peptide synthesis protein				FM211187.1766
murN__protease.2	Cluster_1272	1	1272	1	FM211187.1766__FM211187.1768	murN	protease.2	unannotated											FM211187.1766__FM211187.1768
protease.2	Cluster_1273	1	1273	1	FM211187.1768	murN__protease.2	protease.2__uvrC	CDS				putative protease		protease	putative protease				FM211187.1768
protease.2__uvrC	Cluster_1274	1	1274	1	FM211187.1768__FM211187.1773	protease.2	uvrC	unannotated											FM211187.1768__FM211187.1773
uvrC	Cluster_1275	1	1275	1	FM211187.1773	protease.2__uvrC	uvrC__uncharacterized_protein.23	CDS		uvrC		UvrABC DNA repair system protein C		UvrABC_DNA_repair_system_protein_C	UvrABC DNA repair system protein C				FM211187.1773
uvrC__uncharacterized_protein.23	Cluster_1276	1	1276	1	FM211187.1773__FM211187.1777	uvrC	uncharacterized_protein.23	unannotated											FM211187.1773__FM211187.1777
uncharacterized_protein.23	Cluster_1277	1	1277	1	FM211187.1777	uvrC__uncharacterized_protein.23	uncharacterized_protein.24	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1777
uncharacterized_protein.24	Cluster_1278	1	1278	1	FM211187.1778	uncharacterized_protein.23	uncharacterized_protein.24__Cluster_1280	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1778
uncharacterized_protein.24__Cluster_1280	Cluster_1279	1	1279	1	FM211187.1778__FM211187.1779	uncharacterized_protein.24	Cluster_1280	unannotated											FM211187.1778__FM211187.1779
Cluster_1280	Cluster_1280	1	1280	1	FM211187.1779	Cluster_1281	uncharacterized_protein.24__Cluster_1280	repeat_region											FM211187.1779
Cluster_1281	Cluster_1281	1	1281	1	FM211187.1780	Cluster_1282	Cluster_1280	repeat_region											FM211187.1780
Cluster_1282	Cluster_1282	1	1282	1	FM211187.1781	extracellular_solute-binding_protein.3	Cluster_1281	repeat_region											FM211187.1781
extracellular_solute-binding_protein.3	Cluster_1283	1	1283	1	FM211187.1782	extracellular_solute-binding_protein.3__nitroreductase_family_protein	Cluster_1282	CDS				putative extracellular solute-binding protein		extracellular_solute-binding_protein	putative extracellular solute-binding protein				FM211187.1782
extracellular_solute-binding_protein.3__nitroreductase_family_protein	Cluster_1284	1	1284	1	FM211187.1782__FM211187.1786	extracellular_solute-binding_protein.3	nitroreductase_family_protein	unannotated											FM211187.1782__FM211187.1786
nitroreductase_family_protein	Cluster_1285	1	1285	1	FM211187.1786	extracellular_solute-binding_protein.3__nitroreductase_family_protein	nitroreductase_family_protein__pepV	CDS				nitroreductase family protein		nitroreductase_family_protein	nitroreductase family protein				FM211187.1786
nitroreductase_family_protein__pepV	Cluster_1286	1	1286	1	FM211187.1786__FM211187.1788	nitroreductase_family_protein	pepV	unannotated											FM211187.1786__FM211187.1788
pepV	Cluster_1287	1	1287	1	FM211187.1788	nitroreductase_family_protein__pepV	pepV__uracil_DNA_glycosylase_superfamily_protein	CDS		pepV		putative Xaa-His dipeptidase		Xaa-His_dipeptidase	putative Xaa-His dipeptidase				FM211187.1788
pepV__uracil_DNA_glycosylase_superfamily_protein	Cluster_1288	1	1288	1	FM211187.1788__FM211187.1791	pepV	uracil_DNA_glycosylase_superfamily_protein	unannotated											FM211187.1788__FM211187.1791
uracil_DNA_glycosylase_superfamily_protein	Cluster_1289	1	1289	1	FM211187.1791	pepV__uracil_DNA_glycosylase_superfamily_protein	Cluster_1290	CDS				uracil DNA glycosylase superfamily protein		uracil_DNA_glycosylase_superfamily_protein	uracil DNA glycosylase superfamily protein				FM211187.1791
Cluster_1290	Cluster_1290	1	1290	1	FM211187.1793	Cluster_1291	uracil_DNA_glycosylase_superfamily_protein	repeat_region											FM211187.1793
Cluster_1291	Cluster_1291	1	1291	1	FM211187.1794	Cluster_1292	Cluster_1290	repeat_region											FM211187.1794
Cluster_1292	Cluster_1292	1	1292	1	FM211187.1795	Cluster_1292__uncharacterized_protein.25	Cluster_1291	repeat_region											FM211187.1795
Cluster_1292__uncharacterized_protein.25	Cluster_1293	1	1293	1	FM211187.1795__FM211187.1796	Cluster_1292	uncharacterized_protein.25	unannotated											FM211187.1795__FM211187.1796
uncharacterized_protein.25	Cluster_1294	1	1294	1	FM211187.1796	Cluster_1292__uncharacterized_protein.25	uncharacterized_protein.26	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1796
uncharacterized_protein.26	Cluster_1295	1	1295	1	FM211187.1797	uncharacterized_protein.25	uncharacterized_protein.26__brnQ	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1797
uncharacterized_protein.26__brnQ	Cluster_1296	1	1296	1	FM211187.1797__FM211187.1798	uncharacterized_protein.26	brnQ	unannotated											FM211187.1797__FM211187.1798
brnQ	Cluster_1297	1	1297	1	FM211187.1798	uncharacterized_protein.26__brnQ	brnQ__M42_glutamyl_aminopeptidase	CDS		brnQ		putative branched-chain amino acid transport system carrier protein		branched-chain_amino_acid_transport_system_carrier	putative branched-chain amino acid transport system carrier protein				FM211187.1798
brnQ__M42_glutamyl_aminopeptidase	Cluster_1298	1	1298	1	FM211187.1798__FM211187.1802	brnQ	M42_glutamyl_aminopeptidase	unannotated											FM211187.1798__FM211187.1802
M42_glutamyl_aminopeptidase	Cluster_1299	1	1299	1	FM211187.1802	brnQ__M42_glutamyl_aminopeptidase	M42_glutamyl_aminopeptidase__HIT_family_protein	CDS				M42 glutamyl aminopeptidase		M42_glutamyl_aminopeptidase	M42 glutamyl aminopeptidase				FM211187.1802
M42_glutamyl_aminopeptidase__HIT_family_protein	Cluster_1300	1	1300	1	FM211187.1802__FM211187.1804	M42_glutamyl_aminopeptidase	HIT_family_protein	unannotated											FM211187.1802__FM211187.1804
HIT_family_protein	Cluster_1301	1	1301	1	FM211187.1804	M42_glutamyl_aminopeptidase__HIT_family_protein	HIT_family_protein__carboxypeptidase	CDS				HIT family protein		HIT_family_protein	HIT family protein				FM211187.1804
HIT_family_protein__carboxypeptidase	Cluster_1302	1	1302	1	FM211187.1804__FM211187.1806	HIT_family_protein	carboxypeptidase	unannotated											FM211187.1804__FM211187.1806
carboxypeptidase	Cluster_1303	1	1303	1	FM211187.1806	HIT_family_protein__carboxypeptidase	carboxypeptidase__rplK	CDS				putative carboxypeptidase		carboxypeptidase	putative carboxypeptidase				FM211187.1806
carboxypeptidase__rplK	Cluster_1304	1	1304	1	FM211187.1806__FM211187.1810	carboxypeptidase	rplK	unannotated											FM211187.1806__FM211187.1810
rplK	Cluster_1305	1	1305	1	FM211187.1810	carboxypeptidase__rplK	rplK__rplA	CDS		rplK		50S ribosomal protein L11		50S_ribosomal_protein_L11	50S ribosomal protein L11				FM211187.1810
rplK__rplA	Cluster_1306	1	1306	1	FM211187.1810__FM211187.1814	rplK	rplA	unannotated											FM211187.1810__FM211187.1814
rplA	Cluster_1307	1	1307	1	FM211187.1814	rplK__rplA	rplA__Cluster_1309	CDS		rplA		50S ribosomal protein L1		50S_ribosomal_protein_L1	50S ribosomal protein L1				FM211187.1814
rplA__Cluster_1309	Cluster_1308	1	1308	1	FM211187.1814__FM211187.1816	rplA	Cluster_1309	unannotated											FM211187.1814__FM211187.1816
Cluster_1309	Cluster_1309	1	1309	1	FM211187.1816	Cluster_1309__Group_II_intron.3	rplA__Cluster_1309	repeat_region											FM211187.1816
Cluster_1309__Group_II_intron.3	Cluster_1310	1	1310	1	FM211187.1816__FM211187.1817	Cluster_1309	Group_II_intron.3	unannotated											FM211187.1816__FM211187.1817
Group_II_intron.3	Cluster_1311	1	1311	1	FM211187.1817	Cluster_1309__Group_II_intron.3	Group_II_intron.3__uncharacterized_protein_fragment	transcript				Group II intron		Group_II_intron	Group II intron				FM211187.1817
Group_II_intron.3__uncharacterized_protein_fragment	Cluster_1312	1	1312	1	FM211187.1817__FM211187.1818	Group_II_intron.3	uncharacterized_protein_fragment	unannotated											FM211187.1817__FM211187.1818
uncharacterized_protein_fragment	Cluster_1313	1	1313	1	FM211187.1818	Cluster_1314	Group_II_intron.3__uncharacterized_protein_fragment	CDS				putative uncharacterized protein (fragment)		uncharacterized_protein_fragment	putative uncharacterized protein (fragment)				FM211187.1818
Cluster_1314	Cluster_1314	1	1314	1	FM211187.1819	uncharacterized_protein_fragment	Cluster_1315	repeat_region											FM211187.1819
Cluster_1315	Cluster_1315	1	1315	1	FM211187.1820	Cluster_1314	Cluster_1316	repeat_region											FM211187.1820
Cluster_1316	Cluster_1316	1	1316	1	FM211187.1821	Cluster_1315	Cluster_1316__uncharacterized_protein.27	repeat_region											FM211187.1821
Cluster_1316__uncharacterized_protein.27	Cluster_1317	1	1317	1	FM211187.1821__FM211187.1822	Cluster_1316	uncharacterized_protein.27	unannotated											FM211187.1821__FM211187.1822
uncharacterized_protein.27	Cluster_1318	1	1318	1	FM211187.1822	Cluster_1316__uncharacterized_protein.27	uncharacterized_protein.27__Cluster_1320	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1822
uncharacterized_protein.27__Cluster_1320	Cluster_1319	1	1319	1	FM211187.1822__FM211187.1823	uncharacterized_protein.27	Cluster_1320	unannotated											FM211187.1822__FM211187.1823
Cluster_1320	Cluster_1320	1	1320	1	FM211187.1823	uncharacterized_protein.27__Cluster_1320	Cluster_1320__uncharacterized_protein.28	repeat_region											FM211187.1823
Cluster_1320__uncharacterized_protein.28	Cluster_1321	1	1321	1	FM211187.1823__FM211187.1824	Cluster_1320	uncharacterized_protein.28	unannotated											FM211187.1823__FM211187.1824
uncharacterized_protein.28	Cluster_1322	1	1322	1	FM211187.1824	Cluster_1320__uncharacterized_protein.28	uncharacterized_protein.28__ABC_transporter_ATP-binding_protein.6	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1824
uncharacterized_protein.28__ABC_transporter_ATP-binding_protein.6	Cluster_1323	1	1323	1	FM211187.1824__FM211187.1825	uncharacterized_protein.28	ABC_transporter_ATP-binding_protein.6	unannotated											FM211187.1824__FM211187.1825
ABC_transporter_ATP-binding_protein.6	Cluster_1324	1	1324	1	FM211187.1825	uncharacterized_protein.28__ABC_transporter_ATP-binding_protein.6	ABC_transporter_ATP-binding_protein.6__membrane_protein.29	CDS				ABC transporter ATP-binding protein		ABC_transporter_ATP-binding_protein	ABC transporter ATP-binding protein				FM211187.1825
ABC_transporter_ATP-binding_protein.6__membrane_protein.29	Cluster_1325	1	1325	1	FM211187.1825__FM211187.1829	ABC_transporter_ATP-binding_protein.6	membrane_protein.29	unannotated											FM211187.1825__FM211187.1829
membrane_protein.29	Cluster_1326	1	1326	1	FM211187.1829	ABC_transporter_ATP-binding_protein.6__membrane_protein.29	membrane_protein.29__membrane_protein.30	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1829
membrane_protein.29__membrane_protein.30	Cluster_1327	1	1327	1	FM211187.1829__FM211187.1832	membrane_protein.29	membrane_protein.30	unannotated											FM211187.1829__FM211187.1832
membrane_protein.30	Cluster_1328	1	1328	1	FM211187.1832	membrane_protein.29__membrane_protein.30	membrane_protein.30__uncharacterized_protein.29	CDS				putative membrane protein		membrane_protein	putative membrane protein				FM211187.1832
membrane_protein.30__uncharacterized_protein.29	Cluster_1329	1	1329	1	FM211187.1832__FM211187.1835	membrane_protein.30	uncharacterized_protein.29	unannotated											FM211187.1832__FM211187.1835
uncharacterized_protein.29	Cluster_1330	1	1330	1	FM211187.1835	membrane_protein.30__uncharacterized_protein.29	uncharacterized_protein.30	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1835
uncharacterized_protein.30	Cluster_1331	1	1331	1	FM211187.1836	uncharacterized_protein.29	uncharacterized_protein.30__Cluster_1333	CDS				putative uncharacterized protein		uncharacterized_protein	putative uncharacterized protein				FM211187.1836
uncharacterized_protein.30__Cluster_1333	Cluster_1332	1	1332	1	FM211187.1836__FM211187.1838	uncharacterized_protein.30	Cluster_1333	unannotated											FM211187.1836__FM211187.1838
Cluster_1333	Cluster_1333	1	1333	1	FM211187.1838	uncharacterized_protein.30__Cluster_1333	Cluster_1334	repeat_region											FM211187.1838
Cluster_1334	Cluster_1334	1	1334	1	FM211187.1839	Cluster_1333	Cluster_1335	repeat_region											FM211187.1839
Cluster_1335	Cluster_1335	1	1335	1	FM211187.1840	Cluster_1334	Cluster_1335__surface-anchored_serine_protease	repeat_region											FM211187.1840
Cluster_1335__surface-anchored_serine_protease	Cluster_1336	1	1336	1	FM211187.1840__FM211187.1841	Cluster_1335	surface-anchored_serine_protease	unannotated											FM211187.1840__FM211187.1841
surface-anchored_serine_protease	Cluster_1337	1	1337	1	FM211187.1841	Cluster_1335__surface-anchored_serine_protease	surface-anchored_serine_protease__Cluster_1339	CDS				putative surface-anchored serine protease		surface-anchored_serine_protease	putative surface-anchored serine protease				FM211187.1841
surface-anchored_serine_protease__Cluster_1339	Cluster_1338	1	1338	1	FM211187.1841__FM211187.1853	surface-anchored_serine_protease	Cluster_1339	unannotated											FM211187.1841__FM211187.1853
Cluster_1339	Cluster_1339	1	1339	1	FM211187.1853	surface-anchored_serine_protease__Cluster_1339	Cluster_1340	repeat_region											FM211187.1853
Cluster_1340	Cluster_1340	1	1340	1	FM211187.1854	Cluster_1339	Cluster_1340__sugar_phosphotransferase_system_PTSIIA_component	repeat_region											FM211187.1854
Cluster_1340__sugar_phosphotransferase_system_PTSIIA_component	Cluster_1341	1	1341	1	FM211187.1854__FM211187.1855	Cluster_1340	sugar_phosphotransferase_system_PTSIIA_component	unannotated											FM211187.1854__FM211187.1855
sugar_phosphotransferase_system_PTSIIA_component	Cluster_1342	1	1342	1	FM211187.1855	Cluster_1340__sugar_phosphotransferase_system_PTSIIA_component	sugar_phosphotransferase_system_PTSIIA_component__sugar_phosphotransferase_system_PTS_IIB_component	CDS				putative sugar phosphotransferase system (PTS),IIA component		sugar_phosphotransferase_system_PTSIIA_component	putative sugar phosphotransferase system (PTS),IIA component				FM211187.1855
sugar_phosphotransferase_system_PTSIIA_component__sugar_phosphotransferase_system_PTS_IIB_component	Cluster_1343	1	1343	1	FM211187.1855__FM211187.1857	sugar_phosphotransferase_system_PTSIIA_component	sugar_phosphotransferase_system_PTS_IIB_component	unannotated											FM211187.1855__FM211187.1857
sugar_phosphotransferase_system_PTS_IIB_component	Cluster_1344	1	1344	1	FM211187.1857	sugar_phosphotransferase_system_PTSIIA_component__sugar_phosphotransferase_system_PTS_IIB_component	sugar_phosphotransferase_system_PTS_IIB_component__sugar_phosphotransferase_system_PTSgalactitol-spec	CDS				sugar phosphotransferase system (PTS), IIB component		sugar_phosphotransferase_system_PTS_IIB_component	sugar phosphotransferase system (PTS), IIB component				FM211187.1857
